ISIN,ISIN Description
INE452I01018,A.S. CARRIERS PRIVATE LIMITED
INE217X01014,A.S. MOLOOBHOY & SONS PRIVATE LIMITED
INE09BM01013,A.S.K.BROTHERS LIMITED
INE235X01016,A.TREDS LIMITED
INE235X03012,A.TREDS LIMITED
INE842Y01017,A.V.THOMAS INTERNATIONAL LIMITED
INE0MSQ01013,A1 AGRI GLOBAL PRIVATE LIMITED
INE539M01014,A2Z GREEN WASTE MANAGEMENT LIMITED
INE539M04018,A2Z GREEN WASTE MANAGEMENT LIMITED
INE539M04026,A2Z GREEN WASTE MANAGEMENT LIMITED
INE539M04034,A2Z GREEN WASTE MANAGEMENT LIMITED
INE539M04042,A2Z GREEN WASTE MANAGEMENT LIMITED
INE539M04059,A2Z GREEN WASTE MANAGEMENT LIMITED
IN8619I01011,A2Z INFRA ENGINEERING LIMITED
INE619I01012,A2Z INFRA ENGINEERING LIMITED
INE584P01013,A2Z INFRASERVICES LIMITED
INE0KBG07011,A2Z ONLINE SERVICES PRIVATE LIMITED
INE03MA01018,A2Z WASTE MANAGEMENT (ALIGARH) LIMITED
INE03MA03014,A2Z WASTE MANAGEMENT (ALIGARH) LIMITED
INE03MA03022,A2Z WASTE MANAGEMENT (ALIGARH) LIMITED
INE03MA03030,A2Z WASTE MANAGEMENT (ALIGARH) LIMITED
INE03MA08013,A2Z WASTE MANAGEMENT (ALIGARH) LIMITED
INE0GPS01017,A2Z WASTE MANAGEMENT (JAIPUR) LIMITED
INE03MC01014,A2Z WASTE MANAGEMENT (JAUNPUR) LIMITED
INE03MC04018,A2Z WASTE MANAGEMENT (JAUNPUR) LIMITED
INE110N01012,A2Z WASTE MANAGEMENT (LUDHIANA) LIMITED
INE110N04016,A2Z WASTE MANAGEMENT (LUDHIANA) LIMITED
INE110N04024,A2Z WASTE MANAGEMENT (LUDHIANA) LIMITED
INE110N04032,A2Z WASTE MANAGEMENT (LUDHIANA) LIMITED
INE0GR401014,A2Z WASTE MANAGEMENT (MERRUT) LIMITED
INE0GR404018,A2Z WASTE MANAGEMENT (MERRUT) LIMITED
INE0GR404026,A2Z WASTE MANAGEMENT (MERRUT) LIMITED
INE0GR404034,A2Z WASTE MANAGEMENT (MERRUT) LIMITED
INE0GR201018,A2Z WASTE MANAGEMENT (MORADABAD) LIMITED
INE0GR204012,A2Z WASTE MANAGEMENT (MORADABAD) LIMITED
INE0GR204020,A2Z WASTE MANAGEMENT (MORADABAD) LIMITED
INE0GR204038,A2Z WASTE MANAGEMENT (MORADABAD) LIMITED
INE0GR301016,A2Z WASTE MANAGEMENT (VARANASI) LIMITED
