ISIN,ISIN Description,,ISIN,ISIN Description
INE542S01015,A A ESTATES PVT LTD,,INE918K07NR8,NUVAMA WEALTH FINANCE LIMITED
INE749Y01014,A AND M JUMBO BAGS LIMITED,,INE07HK07627,KRAZYBEE SERVICES PRIVATE LIMITED
INE749Y04018,A AND M JUMBO BAGS LIMITED,,INE0R8M01017,OWAIS METAL AND MINERAL PROCESSING LIMITED
IN8749Y01013,A AND M JUMBO BAGS LIMITED,,INE138I04017,MARWADI SHARES AND FINANCE LIMITED
IN808PH01016,A B COTSPIN INDIA LIMITED,,INF0R0322031,NUVAMA PRIVATE OPPORTUNITIES TRUST
INE08PH01015,A B COTSPIN INDIA LIMITED,,INF0R0322098,NUVAMA PRIVATE OPPORTUNITIES TRUST
IN800YB01018,A B INFRABUILD LIMITED,,INF0R0C22042,NUVAMA PRIVATE INVESTMENTS TRUST
INE00YB01017,A B INFRABUILD LIMITED,,INF0R0C22117,NUVAMA PRIVATE INVESTMENTS TRUST
INE06JL01014,A B MOTIONS PRIVATE LIMITED,,INF0R7A22033,JM FINANCIAL INDIA TRUST II
INE982R01015,A B N INTERCORP LIMITED,,INF789F1AYZ4,UTI MUTUAL FUND
IN8982R01014,A B N INTERCORP LIMITED,,INE03CO07967,PUNJAB KASHMIR FINANCE LIMITED
INE0FPS01019,A B SUGARS LIMITED,,INE03CO07975,PUNJAB KASHMIR FINANCE LIMITED
INE02PG01010,A B T LIMITED,,INE0JYF08023,ABANS SECURITIES PRIVATE LIMITED
INE02PG07157,A B T LIMITED,,INE0QDR01014,PETFULLY YOURS PRIVATE LIMITED
INE02PG07165,A B T LIMITED,,INE0QLH15018,SANSAR TRUST JUNE 2023 VIII
INE02PG07173,A B T LIMITED,,INE0QM618024,OMKARA PS11/2022-23 TRUST
INE02PG07181,A B T LIMITED,,INE0QMF01010,NATURAL GROWERS PRIVATE LIMITED
INE02PG07199,A B T LIMITED,,INE601U08135,TATA MOTORS FINANCE LIMITED
INE02PG07207,A B T LIMITED,,INE721A07RP2,SHRIRAM FINANCE LIMITED
INE02PG07215,A B T LIMITED,,INE909H08188,TATA MOTORS FINANCE LIMITED
INE02PG07223,A B T LIMITED,,INE09S307161,VALUVANADU CAPITAL LIMITED
INE02PG07231,A B T LIMITED,,INE0OEW18029,OMKARA PS06/2022-23 TRUST
INE02PG07249,A B T LIMITED,,INE0RYC01010,STALLION INDIA FLUOROCHEMICALS LIMITED
